item_id,timestamp,target
60.125_5.125,01-09-1981,27.95
60.125_5.125,02-09-1981,26.75
60.125_5.125,03-09-1981,27.21
60.125_5.125,04-09-1981,27.76
60.125_5.125,05-09-1981,27.77
60.125_5.125,06-09-1981,27.79
60.125_5.125,07-09-1981,27.77
60.125_5.125,08-09-1981,27.8
60.125_5.125,09-09-1981,27.93
60.125_5.125,10-09-1981,27.95
60.125_5.125,11-09-1981,28
60.125_5.125,12-09-1981,28.01
60.125_5.125,13-09-1981,28.18
60.125_5.125,14-09-1981,28.09
60.125_5.125,15-09-1981,28.14
60.125_5.125,16-09-1981,28.29
60.125_5.125,17-09-1981,28.05
60.125_5.125,18-09-1981,27.75
60.125_5.125,19-09-1981,27.98
60.125_5.125,20-09-1981,28.12
60.125_5.125,21-09-1981,28.09
60.125_5.125,22-09-1981,27.76
60.125_5.125,23-09-1981,27.49
60.125_5.125,24-09-1981,27.47
60.125_5.125,25-09-1981,27.36
60.125_5.125,26-09-1981,27
60.125_5.125,27-09-1981,26.99
60.125_5.125,28-09-1981,27.09
60.125_5.125,29-09-1981,27.33
60.125_5.125,30-09-1981,27.38
60.125_5.125,01-10-1981,27.51
60.125_5.125,02-10-1981,28.09
60.125_5.125,03-10-1981,28.41
60.125_5.125,04-10-1981,28.34
60.125_5.125,05-10-1981,28.16
60.125_5.125,06-10-1981,28.1
60.125_5.125,07-10-1981,28.55
60.125_5.125,08-10-1981,28.74
60.125_5.125,09-10-1981,28.77
60.125_5.125,10-10-1981,28.68
60.125_5.125,11-10-1981,28.64
60.125_5.125,12-10-1981,28.26
60.125_5.125,13-10-1981,28.68
60.125_5.125,14-10-1981,28.62
60.125_5.125,15-10-1981,28.58
60.125_5.125,16-10-1981,28.53
60.125_5.125,17-10-1981,28.81
60.125_5.125,18-10-1981,29.03
60.125_5.125,19-10-1981,29.01
60.125_5.125,20-10-1981,29.01
60.125_5.125,21-10-1981,29.2
60.125_5.125,22-10-1981,29.06
60.125_5.125,23-10-1981,28.81
60.125_5.125,24-10-1981,28.85
60.125_5.125,25-10-1981,29.79
60.125_5.125,26-10-1981,29.94
60.125_5.125,27-10-1981,29.67
60.125_5.125,28-10-1981,29.11
60.125_5.125,29-10-1981,29.09
60.125_5.125,30-10-1981,28.47
60.125_5.125,31-10-1981,28.32
60.125_5.125,01-11-1981,28.27
60.125_5.125,02-11-1981,27.95
60.125_5.125,03-11-1981,27.96
60.125_5.125,04-11-1981,27.96
60.125_5.125,05-11-1981,28.39
60.125_5.125,06-11-1981,28.35
60.125_5.125,07-11-1981,28.72
60.125_5.125,08-11-1981,29.01
60.125_5.125,09-11-1981,29.06
60.125_5.125,10-11-1981,28.64
60.125_5.125,11-11-1981,28.87
60.125_5.125,12-11-1981,29.29
60.125_5.125,13-11-1981,28.86
60.125_5.125,14-11-1981,27.97
60.125_5.125,15-11-1981,27.95
60.125_5.125,16-11-1981,27.92
60.125_5.125,17-11-1981,27.76
60.125_5.125,18-11-1981,27.79
60.125_5.125,19-11-1981,27.37
60.125_5.125,20-11-1981,27.34
60.125_5.125,21-11-1981,27.49
60.125_5.125,22-11-1981,27.32
60.125_5.125,23-11-1981,27.25
60.125_5.125,24-11-1981,26.66
60.125_5.125,25-11-1981,26.6
60.125_5.125,26-11-1981,26.72
60.125_5.125,27-11-1981,26.91
60.125_5.125,28-11-1981,26.71
60.125_5.125,29-11-1981,26.46
60.125_5.125,30-11-1981,26.45
60.125_5.125,01-12-1981,26.63
60.125_5.125,02-12-1981,26.85
60.125_5.125,03-12-1981,27.04
60.125_5.125,04-12-1981,27.11
60.125_5.125,05-12-1981,27.55
60.125_5.125,06-12-1981,27.17
60.125_5.125,07-12-1981,27.21
60.125_5.125,08-12-1981,27.3
60.125_5.125,09-12-1981,27.05
60.125_5.125,10-12-1981,27.2
60.125_5.125,11-12-1981,27.32
60.125_5.125,12-12-1981,27.53
60.125_5.125,13-12-1981,27.31
60.125_5.125,14-12-1981,27.16
60.125_5.125,15-12-1981,27.1
60.125_5.125,16-12-1981,27.53
60.125_5.125,17-12-1981,27.73
60.125_5.125,18-12-1981,27.56
60.125_5.125,19-12-1981,27.6
60.125_5.125,20-12-1981,27.56
60.125_5.125,21-12-1981,27.16
60.125_5.125,22-12-1981,27.04
60.125_5.125,23-12-1981,26.64
60.125_5.125,24-12-1981,26.52
60.125_5.125,25-12-1981,26.85
60.125_5.125,26-12-1981,27.14
60.125_5.125,27-12-1981,27.2
60.125_5.125,28-12-1981,27.24
60.125_5.125,29-12-1981,27.43
60.125_5.125,30-12-1981,27.03
60.125_5.125,31-12-1981,26.4
60.125_5.125,01-01-1982,26.55
60.125_5.125,02-01-1982,26.38
60.125_5.125,03-01-1982,26.59
60.125_5.125,04-01-1982,26.62
60.125_5.125,05-01-1982,26.81
60.125_5.125,06-01-1982,26.59
